"","lat","long","elev"
"1",26.658,99.2559,2547.3
"2",27.9682,102.2906,2093.7
"3",28.0043,100.7639,3727.3
"4",28.0043,99.2361,2860.5
"5",29.332,102.3533,2713.2
"6",29.3696,100.7848,3742.5
"7",29.3696,99.2152,4193.4
"8",29.332,97.6467,5256.7
"9",29.2568,96.0818,4052.1
"10",29.1444,94.5226,3438.1
"11",28.9951,92.9716,4132.7
"12",28.8094,91.4309,4676.2
"13",30.6363,104.0283,498.4
"14",30.7146,97.5805,4010.6
"15",30.6363,95.9717,4443.8
"16",30.1701,91.1932,4325.6
"17",29.9394,89.6242,5117.6
"18",29.6723,88.0707,5233.7
"19",29.3696,86.5348,5198.9
"20",28.6616,83.5231,4105
"21",31.0298,112.2648,63.3
"22",31.308,110.6698,252.2
"23",31.5483,109.0579,2075.5
"24",31.7499,107.4314,642.4
"25",32.0343,104.1446,1296.4
"26",32.1569,100.8303,4285.1
"27",32.0343,95.8554,4710.5
"28",31.7499,92.5686,4921.9
"29",31.5483,90.9421,4574.6
"30",31.308,89.3302,5339.6
"31",31.0298,87.7352,5083.4
"32",30.7146,86.1593,4683.8
"33",30.3635,84.6045,5812.5
"34",29.9778,83.0725,4614.2
"35",29.5585,81.5651,3958.1
"36",30.8718,118.9465,85.4
"37",31.308,117.4027,19.8
"38",31.7095,115.8324,239.2
"39",32.0751,114.2373,83.2
"40",32.4034,112.6193,95.9
"41",32.6934,110.9807,307.7
"42",32.944,109.3236,806.1
"43",33.1542,107.6507,579.1
"44",33.3234,105.9645,1136
"45",33.4508,104.2679,3089.8
"46",33.536,102.5638,3493
"47",33.5787,100.8551,4013.2
"48",33.536,97.4362,4642.8
"49",33.3234,94.0355,4989.4
"50",33.1542,92.3493,5484.8
"51",32.944,90.6764,5121.6
"52",32.6934,89.0193,4957.8
"53",32.4034,87.3807,4999
"54",32.0751,85.7627,5136.8
"55",31.7095,84.1676,4910.3
"56",31.308,82.5973,4921.6
"57",32.6518,117.9044,28.3
"58",33.07,116.294,31
"59",33.4508,114.6568,45.9
"60",33.7931,112.9946,137.4
"61",34.0954,111.3099,1307.8
"62",34.3568,109.6052,655.5
"63",34.5762,107.8831,1375.2
"64",34.9748,102.6425,3536.2
"65",35.0194,100.8814,3975.4
"66",34.9748,97.3575,4291
"67",34.8858,95.6013,4553.2
"68",34.7528,93.8534,4433
"69",34.5762,92.1169,4665.5
"70",34.0954,88.6901,5215
"71",33.7931,87.0054,4864.9
"72",33.4508,85.3432,5553.7
"73",33.07,83.706,4781.8
"74",32.6518,82.0956,4374.5
"75",32.1978,80.5139,4964.3
"76",30.6363,75.9558,251.3
"77",34.0087,118.4349,19.9
"78",34.4444,116.7826,46.7
"79",34.8414,115.1011,70
"80",35.1983,113.3925,87
"81",35.5138,111.6593,740.2
