type	latitude	longitude	altitude (m)
T	29.901100000	78.051300000	271.3	
T	36.432000000	74.653800000	5338.6	
T	35.604500000	137.405400000	813.4	
T	35.832300000	139.920400000	18.7	
T	39.046900000	140.914400000	589.2	
T	34.488300000	36.175300000	1169.1	
T	74.515700000	140.236400000	0.0	
T	73.299400000	55.000000000	499.8	
T	38.696000000	20.561000000	0.0	
T	40.807000000	15.013100000	818.9	
T	82.144000000	-25.537700000	0.0	
T	56.507700000	-159.286900000	31.6	
T	81.731600000	-86.340200000	454.8	
T	41.943600000	0.706700000	786.7	
T	71.632900000	-22.905200000	827.2	
T	72.724900000	-83.012800000	620.0	
T	68.710800000	-67.735200000	111.5	
