week,p_value,model
1,0.6275449101796408,IID
2,1.0,IID
3,1.0,IID
4,1.0,IID
5,1.0,IID
6,1.0,IID
7,1.0,IID
8,1.0,IID
9,1.0,IID
10,0.10239520958083832,IID
11,0.0,IID
12,0.0,IID
13,0.0,IID
14,0.9844311377245509,IID
15,0.0,IID
16,0.0,IID
17,0.0,IID
18,0.0,IID
19,0.0,IID
20,0.0038922155688622755,IID
21,0.49580838323353293,IID
22,1.0,IID
23,0.9988023952095808,IID
24,1.0,IID
25,0.9997005988023953,IID
26,0.3565868263473054,IID
27,0.01407185628742515,IID
28,0.9994011976047904,IID
29,0.0005988023952095808,IID
30,0.7308383233532935,IID
31,0.002095808383233533,IID
32,1.0,IID
33,0.3221556886227545,IID
34,0.013772455089820359,IID
35,0.9967065868263473,IID
36,0.004191616766467066,IID
37,0.10029940119760479,IID
38,0.9946107784431137,IID
39,0.9883233532934131,IID
40,1.0,IID
41,0.9401197604790419,IID
42,0.0014970059880239522,IID
43,0.5305389221556887,IID
44,0.06077844311377246,IID
45,0.1724550898203593,IID
46,0.0,IID
47,0.0,IID
48,0.03922155688622755,IID
49,0.494311377245509,IID
50,0.9988023952095808,IID
51,1.0,IID
52,1.0,IID
1,0.38652694610778443,BYM weekly
2,0.20149700598802395,BYM weekly
3,0.16796407185628742,BYM weekly
4,0.14221556886227546,BYM weekly
5,0.2245508982035928,BYM weekly
6,0.4473053892215569,BYM weekly
7,0.4529940119760479,BYM weekly
8,0.6329341317365269,BYM weekly
9,0.6652694610778443,BYM weekly
10,0.5449101796407185,BYM weekly
11,0.6550898203592814,BYM weekly
12,0.7997005988023952,BYM weekly
13,0.5017964071856288,BYM weekly
14,0.47754491017964074,BYM weekly
15,0.19041916167664671,BYM weekly
16,0.6380239520958084,BYM weekly
17,0.41077844311377243,BYM weekly
18,0.2215568862275449,BYM weekly
19,0.23832335329341317,BYM weekly
20,0.268562874251497,BYM weekly
21,0.5110778443113773,BYM weekly
22,0.47065868263473054,BYM weekly
23,0.34161676646706585,BYM weekly
24,0.39520958083832336,BYM weekly
25,0.30389221556886226,BYM weekly
26,0.3901197604790419,BYM weekly
27,0.27844311377245506,BYM weekly
28,0.8862275449101796,BYM weekly
29,0.8326347305389221,BYM weekly
30,0.7332335329341317,BYM weekly
31,0.5511976047904191,BYM weekly
32,0.8356287425149701,BYM weekly
33,0.5332335329341318,BYM weekly
34,0.5221556886227545,BYM weekly
35,0.6416167664670659,BYM weekly
36,0.6248502994011976,BYM weekly
37,0.19491017964071855,BYM weekly
38,0.16407185628742516,BYM weekly
39,0.2182634730538922,BYM weekly
40,0.20958083832335328,BYM weekly
41,0.28892215568862273,BYM weekly
42,0.332934131736527,BYM weekly
43,0.2775449101796407,BYM weekly
44,0.2808383233532934,BYM weekly
45,0.3281437125748503,BYM weekly
46,0.17934131736526945,BYM weekly
47,0.17125748502994012,BYM weekly
48,0.42005988023952096,BYM weekly
49,0.3194610778443114,BYM weekly
50,0.5464071856287425,BYM weekly
51,0.579940119760479,BYM weekly
52,0.5697604790419162,BYM weekly
1,0.5673652694610778,BYM weekly + cov
2,0.3068862275449102,BYM weekly + cov
3,0.22065868263473054,BYM weekly + cov
4,0.15838323353293413,BYM weekly + cov
5,0.23682634730538923,BYM weekly + cov
6,0.442814371257485,BYM weekly + cov
7,0.4350299401197605,BYM weekly + cov
8,0.5622754491017964,BYM weekly + cov
9,0.5565868263473054,BYM weekly + cov
10,0.46407185628742514,BYM weekly + cov
11,0.5383233532934132,BYM weekly + cov
12,0.6562874251497006,BYM weekly + cov
13,0.362874251497006,BYM weekly + cov
14,0.3032934131736527,BYM weekly + cov
15,0.10359281437125749,BYM weekly + cov
16,0.4751497005988024,BYM weekly + cov
17,0.31676646706586825,BYM weekly + cov
18,0.10958083832335329,BYM weekly + cov
19,0.1380239520958084,BYM weekly + cov
20,0.17784431137724552,BYM weekly + cov
21,0.3407185628742515,BYM weekly + cov
22,0.24880239520958083,BYM weekly + cov
23,0.1658682634730539,BYM weekly + cov
24,0.23562874251497007,BYM weekly + cov
25,0.15898203592814372,BYM weekly + cov
26,0.3215568862275449,BYM weekly + cov
27,0.21377245508982035,BYM weekly + cov
28,0.7925149700598803,BYM weekly + cov
29,0.6919161676646707,BYM weekly + cov
30,0.6011976047904192,BYM weekly + cov
31,0.4368263473053892,BYM weekly + cov
32,0.7251497005988023,BYM weekly + cov
33,0.4212574850299401,BYM weekly + cov
34,0.37035928143712576,BYM weekly + cov
35,0.48982035928143713,BYM weekly + cov
36,0.604191616766467,BYM weekly + cov
37,0.21017964071856288,BYM weekly + cov
38,0.21017964071856288,BYM weekly + cov
39,0.22005988023952097,BYM weekly + cov
40,0.19491017964071855,BYM weekly + cov
41,0.2748502994011976,BYM weekly + cov
42,0.281437125748503,BYM weekly + cov
43,0.25359281437125747,BYM weekly + cov
44,0.2907185628742515,BYM weekly + cov
45,0.362874251497006,BYM weekly + cov
46,0.17604790419161676,BYM weekly + cov
47,0.18742514970059881,BYM weekly + cov
48,0.5308383233532934,BYM weekly + cov
49,0.4619760479041916,BYM weekly + cov
50,0.6553892215568863,BYM weekly + cov
51,0.7251497005988023,BYM weekly + cov
52,0.7505988023952096,BYM weekly + cov
