week,p_value,model
1,0.6991017964071856,IID
2,1.0,IID
3,1.0,IID
4,1.0,IID
5,1.0,IID
6,1.0,IID
7,1.0,IID
8,1.0,IID
9,1.0,IID
10,0.06916167664670658,IID
11,0.0,IID
12,0.0,IID
13,0.0,IID
14,0.9748502994011976,IID
15,0.0,IID
16,0.0,IID
17,0.0,IID
18,0.0,IID
19,0.0,IID
20,0.0029940119760479044,IID
21,0.41916167664670656,IID
22,1.0,IID
23,0.9997005988023953,IID
24,1.0,IID
25,0.9997005988023953,IID
26,0.32994011976047904,IID
27,0.016467065868263474,IID
28,0.9994011976047904,IID
29,0.004191616766467066,IID
30,0.7775449101796407,IID
31,0.0008982035928143712,IID
32,1.0,IID
33,0.3221556886227545,IID
34,0.01586826347305389,IID
35,0.9961077844311377,IID
36,0.0023952095808383233,IID
37,0.06916167664670658,IID
38,0.9883233532934131,IID
39,0.9667664670658682,IID
40,0.9997005988023953,IID
41,0.8610778443113772,IID
42,0.0008982035928143712,IID
43,0.42694610778443115,IID
44,0.032035928143712575,IID
45,0.09760479041916167,IID
46,0.0,IID
47,0.0,IID
48,0.004191616766467066,IID
49,0.8745508982035928,IID
50,0.9997005988023953,IID
51,1.0,IID
52,1.0,IID
1,0.3649700598802395,BYM weekly
2,0.2086826347305389,BYM weekly
3,0.1592814371257485,BYM weekly
4,0.15808383233532936,BYM weekly
5,0.3065868263473054,BYM weekly
6,0.4538922155688623,BYM weekly
7,0.4727544910179641,BYM weekly
8,0.6482035928143712,BYM weekly
9,0.6778443113772455,BYM weekly
10,0.5041916167664671,BYM weekly
11,0.5679640718562874,BYM weekly
12,0.7667664670658683,BYM weekly
13,0.4473053892215569,BYM weekly
14,0.3847305389221557,BYM weekly
15,0.1467065868263473,BYM weekly
16,0.5733532934131736,BYM weekly
17,0.37425149700598803,BYM weekly
18,0.18173652694610778,BYM weekly
19,0.19790419161676648,BYM weekly
20,0.2059880239520958,BYM weekly
21,0.37335329341317364,BYM weekly
22,0.37005988023952097,BYM weekly
23,0.288622754491018,BYM weekly
24,0.37335329341317364,BYM weekly
25,0.29221556886227545,BYM weekly
26,0.39550898203592816,BYM weekly
27,0.2505988023952096,BYM weekly
28,0.8874251497005988,BYM weekly
29,0.8266467065868264,BYM weekly
30,0.7616766467065869,BYM weekly
31,0.615568862275449,BYM weekly
32,0.8167664670658683,BYM weekly
33,0.5191616766467065,BYM weekly
34,0.5197604790419161,BYM weekly
35,0.6679640718562875,BYM weekly
36,0.634431137724551,BYM weekly
37,0.2338323353293413,BYM weekly
38,0.1505988023952096,BYM weekly
39,0.18832335329341318,BYM weekly
40,0.2152694610778443,BYM weekly
41,0.23323353293413174,BYM weekly
42,0.31706586826347305,BYM weekly
43,0.3377245508982036,BYM weekly
44,0.29790419161676646,BYM weekly
45,0.2898203592814371,BYM weekly
46,0.13293413173652693,BYM weekly
47,0.18592814371257485,BYM weekly
48,0.4116766467065868,BYM weekly
49,0.2718562874251497,BYM weekly
50,0.46467065868263474,BYM weekly
51,0.5065868263473053,BYM weekly
52,0.5125748502994012,BYM weekly
1,0.5718562874251497,BYM weekly + cov
2,0.40209580838323356,BYM weekly + cov
3,0.3218562874251497,BYM weekly + cov
4,0.27904191616766466,BYM weekly + cov
5,0.3664670658682635,BYM weekly + cov
6,0.5008982035928143,BYM weekly + cov
7,0.47335329341317367,BYM weekly + cov
8,0.6095808383233533,BYM weekly + cov
9,0.5910179640718562,BYM weekly + cov
10,0.4494011976047904,BYM weekly + cov
11,0.511377245508982,BYM weekly + cov
12,0.6541916167664671,BYM weekly + cov
13,0.35808383233532937,BYM weekly + cov
14,0.2838323353293413,BYM weekly + cov
15,0.11796407185628742,BYM weekly + cov
16,0.4562874251497006,BYM weekly + cov
17,0.3158682634730539,BYM weekly + cov
18,0.11017964071856287,BYM weekly + cov
19,0.11676646706586827,BYM weekly + cov
20,0.14550898203592813,BYM weekly + cov
21,0.2778443113772455,BYM weekly + cov
22,0.21017964071856288,BYM weekly + cov
23,0.1595808383233533,BYM weekly + cov
24,0.24491017964071857,BYM weekly + cov
25,0.19820359281437125,BYM weekly + cov
26,0.3538922155688623,BYM weekly + cov
27,0.18592814371257485,BYM weekly + cov
28,0.812874251497006,BYM weekly + cov
29,0.7152694610778443,BYM weekly + cov
30,0.6688622754491018,BYM weekly + cov
31,0.4880239520958084,BYM weekly + cov
32,0.7637724550898204,BYM weekly + cov
33,0.4538922155688623,BYM weekly + cov
34,0.3721556886227545,BYM weekly + cov
35,0.5266467065868263,BYM weekly + cov
36,0.5745508982035928,BYM weekly + cov
37,0.20209580838323354,BYM weekly + cov
38,0.15449101796407186,BYM weekly + cov
39,0.15748502994011976,BYM weekly + cov
40,0.1694610778443114,BYM weekly + cov
41,0.21287425149700598,BYM weekly + cov
42,0.2505988023952096,BYM weekly + cov
43,0.2464071856287425,BYM weekly + cov
44,0.2805389221556886,BYM weekly + cov
45,0.3059880239520958,BYM weekly + cov
46,0.12904191616766467,BYM weekly + cov
47,0.19251497005988025,BYM weekly + cov
48,0.5401197604790419,BYM weekly + cov
49,0.41347305389221556,BYM weekly + cov
50,0.5682634730538922,BYM weekly + cov
51,0.6676646706586826,BYM weekly + cov
52,0.6841317365269461,BYM weekly + cov
